OUTPUT,ESSENTIAL (£8k+),REFRESH (£20k+),TRANSFORMATION (£60k+)
TIMELINE,4-6 weeks,8-10 weeks,14-18 weeks
,,,
PHASE 1: DISCOVERY,,,
Discovery questionnaire,✅,✅,✅
Kickoff meeting/session,✅ (1 hour),✅ (2 hours),✅ (2 hours)
Meeting notes + recording,✅,✅,✅
AI transcription summary,✅,✅,✅
Stakeholder interviews,❌,1-2,5-8
Stakeholder interview summaries (AI-generated),❌,1-2,5-8
Cross-stakeholder synthesis document,❌,❌,✅
Asset collection folder,✅,✅,✅
Document repository,✅,✅,✅
Brand guidelines analysis (AI),✅,✅,✅
Competitor identification,❌,3-4,5-8
Competitor deep-dive analyses,❌,3-4 (surface),5-8 (deep)
Competitor comparison table/report,❌,✅ (table),✅ (15-20 slides)
Competitive landscape report,❌,❌,✅ (15-20 slides)
Analytics access setup (GA4 + Search Console),❌,✅,✅
GA4 analysis,❌,✅ (basic),✅ (deep-dive)
Search Console analysis,❌,✅ (basic),✅ (deep-dive)
Analytics insights document,❌,✅ (5 pages),✅ (5-10 pages)
Customer interviews,❌,❌,3-5
Customer interview summaries (AI-generated),❌,❌,3-5
Customer insights synthesis,❌,❌,✅
Customer insight report,❌,❌,✅ (10-15 pages)
Persona development,❌,✅ (assumptions doc),3-4 (detailed)
Persona documents,❌,✅ (1 doc),3-4 (1-2 pages each)
Customer journey mapping (current state),❌,❌,✅
Compliance requirements audit,❌,❌,✅
Compliance requirements checklist,❌,❌,✅ (5-10 pages)
Technical audit,❌,✅ (basic notes),✅ (full audit)
Technical requirements specification,❌,❌,✅ (10-15 pages)
Integration requirements specification,❌,❌,✅
Platform assessment notes,❌,✅,✅
Journey mapping (for new site),❌,❌,4-6
Journey maps (visual),❌,❌,4-6
Journey synthesis document,❌,❌,✅ (5-10 pages)
Strategy deck development,❌,❌,✅ (30-40 slides)
Stakeholder presentation,❌,❌,✅ (2 hours)
Presentation recording,❌,❌,✅
Alignment workshop,❌,❌,✅
Alignment notes,❌,❌,✅
Discovery summary document,✅ (2-3 pages),✅ (5-10 pages),✅ (5-10 pages)
Complete discovery package,❌,❌,✅
Team briefing deck,❌,❌,✅
